hasName,hasLocation,hasAddress,hasLandmark,latitude,longitude,hasPrice,hasPhone,hasService
Dedhia Stores,Mumbai,"Shop Number 4 & 5, Radhakrishna Bhuvan, Arnala Road, Agashi, Palghar - 401301, Opposite Canara Bank, Near Agashi Baazar Peeth",AgashiPeeth,85.7242,202.5517797,1973,3484328342,Grocery Stores
Oswal Supermarket,Mumbai,"Mr Chintan Chheda, S L Road, Mulund West, Mumbai - 400080, Opposite to Station ,Near Sant Jalaram Bappa Market",Near Sant Jalaram Bappa Market,43.4605,630.5879867,1143,4335428041,Grocery Stores
M B Mart,Mumbai,"Plot No A-1, A-2, Thavar Madan Chawl, Jain Temple Road, Malad East, Mumbai - 400097, Opposite Jain Temple, Near Western Express Highway","East, Mumbai - 400097, Opposite Jain Temple, Near Western Express Highway",99.0257,155.9899464,1359,3058496403,Grocery Stores
Grrovers Supermart,Mumbai,"Shop No 17, Krypton Terrace, Sayani Road, Prabhadevi, Mumbai - 400025",,93.0104,743.7605219,901,3490216821,Grocery Stores
Shree Siddhanath Aapla Baza..,Mumbai,"Plot No. C-25, Mahada Colony, Sambhaji Nagar,, Badlapur East, Badlapur, Thane - 421503, Behind Aadarsh College and Near Digi 1",Behind Aadarsh College and Near Digi 1,85.9167,290.4519397,1789,2900154731,Grocery Stores
Suresh Stores,Mumbai,"Shop No.24, Ground Floor.   Galaxy Complex Sell Building, J W Road, Parel, Mumbai - 400012",,26.6882,107.7145316,550,3809824526,Grocery Stores
Apka Super Market,Mumbai,"Sunil Nagar , Tukaram Nagar, Nandivali Road, Dombivli East, Thane - 421201, Near Nandivali Nala",,80.077,138.5002359,1634,4387139905,Grocery Stores
Nakoda Super Market,Mumbai,"DEV Krupa Buildng, Shop No 1, 2&3, Virar West, Palghar - 401303, Opposite Vidyavihar School, Virat Nagar","School, Virat Nagar",14.0506,383.8492046,683,2064340392,Grocery Stores
Niti General Stores,Mumbai,"37 / 2602  G D Ambe Kar, G D Ambekar Marg, Kala Chowki, Mumbai - 400033, Near Abhyudaya Nagar, G D Ambedkar Marg","400033, Near Abhyudaya Nagar, G D Ambedkar Marg",23.4048,796.1507725,820,8397000805,Grocery Stores
Here 4 U Pharmacy,Mumbai,"Shop No 5 Dlh Dream Tower Building, Jai Bhavani Mata Road, Andheri West, Mumbai - 400058, Amboli",mboli,91.3096,605.8910844,644,3762434954,Grocery Stores
Vegknife Online Delivery Se..,Mumbai,"Kanchan Co-operative Society, Sagarli, Dombivli East, Thane - 421203, South Indian College (SIA COLLEGE)",(SIA COLLEGE,9.8952,846.0126355,573,742465540,Grocery Stores
M T L Masala,Mumbai,"Tain Villa , Shop No 5, Puja Nagar, Naya Nagar-Mira Road, Thane - 401107, Muhammadi Masjid",Muhammadi Masjid,25.3758,324.7399602,870,6792202118,Grocery Stores
9to9 Mart,Mumbai,"Green Park Society, Shop D 13, Off New Link Road, Andheri West, Mumbai - 400053, Opp.Walawalkar Garden","400053, Opp.Walawalkar Garden",16.702,265.4147347,1223,4378543534,Grocery Stores
Gala Traders,Mumbai,"Shop No 4, Gagangiri Building,  Plot No 47, Vashi Sector 17, Navi Mumbai - 400703, Near Abhudaya Bank Marg","400703, Near Abhudaya Bank Marg",21.9011,796.9901372,1185,8942172863,Grocery Stores
Jay Sadguru Traders,Mumbai,"Nalasopara East, Palghar - 401209, Near Station",,30.5383,34.68529527,1570,9825648017,Grocery Stores
Suresh Stores,Mumbai,"Shop No.24, Ground Floor.   Galaxy Complex Sell Building, J W Road, Parel, Mumbai - 400012",,44.4242,902.8089572,693,8725046584,Grocery Stores
Apka Super Market,Mumbai,"Sunil Nagar , Tukaram Nagar, Nandivali Road, Dombivli East, Thane - 421201, Near Nandivali Nala",,23.9075,245.7885149,813,282348571,Grocery Stores
Nakoda Super Market,Mumbai,"DEV Krupa Buildng, Shop No 1, 2&3, Virar West, Palghar - 401303, Opposite Vidyavihar School, Virat Nagar","School, Virat Nagar",89.1246,444.6680214,577,6532284192,Grocery Stores
Niti General Stores,Mumbai,"37 / 2602  G D Ambe Kar, G D Ambekar Marg, Kala Chowki, Mumbai - 400033, Near Abhyudaya Nagar, G D Ambedkar Marg","400033, Near Abhyudaya Nagar, G D Ambedkar Marg",29.9587,335.7440237,763,5738360763,Grocery Stores
Here 4 U Pharmacy,Mumbai,"Shop No 5 Dlh Dream Tower Building, Jai Bhavani Mata Road, Andheri West, Mumbai - 400058, Amboli",mboli,46.4009,877.4036068,1491,602107968,Grocery Stores
Vegknife Online Delivery Se..,Mumbai,"Kanchan Co-operative Society, Sagarli, Dombivli East, Thane - 421203, South Indian College (SIA COLLEGE)",(SIA COLLEGE,4.6192,309.2992821,1623,126056674,Grocery Stores
M T L Masala,Mumbai,"Tain Villa , Shop No 5, Puja Nagar, Naya Nagar-Mira Road, Thane - 401107, Muhammadi Masjid",Muhammadi Masjid,14.6777,252.8936475,1204,1839279020,Grocery Stores
9to9 Mart,Mumbai,"Green Park Society, Shop D 13, Off New Link Road, Andheri West, Mumbai - 400053, Opp.Walawalkar Garden","400053, Opp.Walawalkar Garden",8.1107,939.7389611,721,9339108802,Grocery Stores
Gala Traders,Mumbai,"Shop No 4, Gagangiri Building,  Plot No 47, Vashi Sector 17, Navi Mumbai - 400703, Near Abhudaya Bank Marg","400703, Near Abhudaya Bank Marg",22.278,573.3913146,1702,9124942651,Grocery Stores
Jay Sadguru Traders,Mumbai,"Nalasopara East, Palghar - 401209, Near Station",,64.2642,425.0831994,1358,7635929495,Grocery Stores
Thane Super Market,Mumbai,"Prayag Tirth, Veer Savarkar Marg, Naupada-thane West, Thane - 400602, Opposite Lokmanya Society",iety,45.163,721.4791649,1756,425711687,Grocery Stores
Savla Dry Fruits,Mumbai,"Shradha Bhavan, Station Road, Thane West, Thane - 400601, Near Vishnunagar Ghantali Chowk Naupada",aupada,34.933,218.6888796,1657,8923421677,Grocery Stores
Natures Bazzaar,Mumbai,"Shop No 1,Khokar Compound, Borivali West, Ram Nagar-Borivali West, Mumbai - 400092, Opposite Parwana Tower",Opposite Parwana Tower,89.0789,945.7057014,838,1743416513,Grocery Stores
Sahakar Dhanya Bhandar,Mumbai,"Shop No 3 ,, Poorva Megh Chs, Mulund East, Mumbai - 400081, Junction Of L.T Road & G V Scheme No 2",T Road & G V Scheme No 2,14.3189,112.2297728,1529,1080480806,Grocery Stores
Neelam Foodland,Mumbai,"3,5,6,7 Tanna Kutir, Plot No 540, C D Marg, Khar Danda Road, Khar West, Mumbai - 400052, Near 1st & 17th Road Corner","Danda Road, Khar West, Mumbai - 400052, Near 1st & 17th Road Corner",69.4843,582.1521586,1125,8072869902,Grocery Stores
Jain Traders,Mumbai,"Shop No 10, Parshava Kunj Building, Mathurdas Road, Kandivali West, Mumbai - 400067, Next to Hari Om Hotel",to Hari Om Hotel,94.0619,216.0170563,1628,1250489446,Grocery Stores
Manilal Traders,Mumbai,"Shop No.1, Opposite Building No.8, Tagore Nagar, Station Road, Vikhroli East, Mumbai - 400083",Mumbai - 400083,86.7172,68.64380906,1763,7718611236,Grocery Stores
Shree Ganesh Stores,Mumbai,"Shop No 5, Ismail Kureshi Compound, New Link Road, Behram Baug-Jogeshwari West, Mumbai - 400102, Opposite Three Star Bakery,Near Mahatma Gandhi School","Mumbai - 400102, Opposite Three Star Bakery,Near Mahatma Gandhi School",35.3685,853.5727279,1748,1815693421,Grocery Stores
Mumbai Mart,Mumbai,"Shop No 12 Akansha Heights Opp Sai Service Station Gandhi Nagar, D S Road, Worli, Mumbai - 400018, Wellcare Pharmacy & More","400018, Wellcare Pharmacy & More",59.8228,95.80493967,1446,8437794292,Grocery Stores
Monarch Dry Fruit,Mumbai,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop",Sheetal Baug Bus Stop,0.1197,968.6811562,1994,7004559494,Grocery Stores
Manilal Traders,Mumbai,"Shop No.1, Opposite Building No.8, Tagore Nagar, Station Road, Vikhroli East, Mumbai - 400083",Mumbai - 400083,66.2285,982.9645162,828,8993198845,Grocery Stores
Shree Ganesh Stores,Mumbai,"Shop No 5, Ismail Kureshi Compound, New Link Road, Behram Baug-Jogeshwari West, Mumbai - 400102, Opposite Three Star Bakery,Near Mahatma Gandhi School","Mumbai - 400102, Opposite Three Star Bakery,Near Mahatma Gandhi School",29.0542,491.6346583,945,9685833408,Grocery Stores
Mumbai Mart,Mumbai,"Shop No 12 Akansha Heights Opp Sai Service Station Gandhi Nagar, D S Road, Worli, Mumbai - 400018, Wellcare Pharmacy & More","400018, Wellcare Pharmacy & More",50.6472,664.895092,832,9947298859,Grocery Stores
Monarch Dry Fruit,Mumbai,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop",Sheetal Baug Bus Stop,56.693,855.0774613,829,6631438876,Grocery Stores
Delite Retail,Delhi,"Shop No-23, Shoping Park Mall, Shalimar Bagh, Delhi - 110088, Near Indian Petrol Pump and BFH Block",FH Block,91.2576,317.000799,1700,4146446217,Grocery Stores
Chakki 365,Delhi,"B - 27/11, Gali No. 7, Shaheen Bagh-Jamia Nagar, Delhi - 110025",,52.8554,972.7484672,1948,5608263523,Grocery Stores
Sumer Chand Tara Chand,Delhi,"Shop No-68/3, Sadar Bazaar, Basai Road, Gurgaon - 122001, Near Zevar Mahal",Zevarr Mahal,32.3445,958.9262079,1748,8935945235,Grocery Stores
7 Thirty Mart,Delhi,"144, Avtar Enclave, Paschim Vihar, Delhi - 110063, Near Multan Nagar Red Light",,53.6681,174.0928782,1454,4170613783,Grocery Stores
Wonderzon.com Store to Door,Delhi,"122,Antriksh Appartment, Vikaspuri, Delhi - 110018",,56.6816,833.6623418,990,525936729,Grocery Stores
Bg Supermart,Delhi,"90G, Zamrudpur-Greater Kailash 1, Delhi - 110048, Nr Skin Institute,Jamrudpur",Institutemrudpur,93.4219,209.3006514,843,9356092604,Grocery Stores
Jain Confectionery & Import..,Delhi,"Shop Number 266, INA Market, Delhi - 110022, Opposite Delhi Hart",,98.1685,644.4485614,690,3909497798,Grocery Stores
Discount Bazaar,Delhi,"440 Niti Khand 1 Indirapuram, Mangal Chowk Road, Indirapuram, Ghaziabad - 201014, Opposite Cambridge School",Cambridge School,40.6605,3.241225177,1676,8725089504,Grocery Stores
Ritirivaaj,Delhi,"Metro Pillar No. 42., Shakerpur, Shakarpur, Delhi - 110092",,26.4757,969.3257498,1704,4862093496,Grocery Stores
J Mart,Delhi,"In Front Of 14th Avenue, Gaur City Road-Gaur City 2, Gaur City 1, Noida - 201318","1, Noida - 201318",11.0567,321.6291223,1639,1719673612,Grocery Stores
The Vital Mart,Delhi,"G-1,2 Pankaj Arcade Plot No.5, Pocket-4, Dwarka Sector 11, Delhi - 110075",Delhi - 110075,41.7158,455.4212293,615,930287752,Grocery Stores
Delhyver Food Retail Pvt. L..,Delhi,"G-41, Vikas Cine Mall, G.T Road Shahdara, Shahdara, Delhi - 110032, Near Shahdara Metro Station",Shahdara Metro Station,72.8568,593.2244358,1862,9305330987,Grocery Stores
Saral Super Mart (Grocery V..,Delhi,"CG-05,06, Unitech Arcadia, Sector -49, South City 2, Gurgaon - 122018",,44.2146,317.0642746,1995,7913884311,Grocery Stores
Daily Needs,Delhi,"45,Corner Market, Malviya Nagar, Delhi - 110017",,98.2003,575.3817431,1278,8125003018,Grocery Stores
Jaideep Mega Store,Delhi,"Shop-154, Mangolpur Kalan, Rohini Sector 2, Delhi - 110085, Opp. - Pocket 4, Near Jain Sweet Wali Gali and Maruti Service Station",Jain Sweet Wali Gali and Maruti Service Station,91.3687,209.6917277,1121,218001170,Grocery Stores
Jai Maa Kamakhya Kirana Sto..,Delhi,"GARHI CHAUKHANDI, Noida Sector 68, Noida - 201307, Near Yadav Mobile Wali Gali",,5.7937,310.6386243,1213,100469673,Grocery Stores
Lala Ki Dukaan,Delhi,"Shop No 1, Crossing Republik, Ghaziabad - 201016, Near Sushant Aquapolis",,78.8461,43.06947011,510,755340788,Grocery Stores
Modern Bazaar,Delhi,"15, Community Center, New Friends Colony, Delhi - 110025, Behind Surya Sofitel Hotel",,73.4238,951.8006239,1533,1128706462,Grocery Stores
Home Store 12x7,Delhi,"Gf 23, GF-23, Crossing Republik, Noida Extension,, Crossing Republik, Ghaziabad - 201016, Haldiram",aldiram,82.1309,162.6445122,1083,2885366245,Grocery Stores
SUPER BAKERY GALLERIA MKT,Delhi,"SG-29-30, Galleria Market, DLF City Phase 4, Gurgaon - 122002, Opposite DLF Club, Sector 28","Club, Sector 28",68.0525,468.8375322,1120,6012067120,Grocery Stores
The Vital Mart,Delhi,"G-1,2 Pankaj Arcade Plot No.5, Pocket-4, Dwarka Sector 11, Delhi - 110075",Delhi - 110075,42.9085,664.8533462,1933,2761312029,Grocery Stores
Delhyver Food Retail Pvt. L..,Delhi,"G-41, Vikas Cine Mall, G.T Road Shahdara, Shahdara, Delhi - 110032, Near Shahdara Metro Station",Shahdara Metro Station,90.5707,264.1585164,623,787291276,Grocery Stores
Saral Super Mart (Grocery V..,Delhi,"CG-05,06, Unitech Arcadia, Sector -49, South City 2, Gurgaon - 122018",,74.7487,852.2929277,570,5860563083,Grocery Stores
Daily Needs,Delhi,"45,Corner Market, Malviya Nagar, Delhi - 110017",,79.2373,404.8168399,1075,8824893902,Grocery Stores
Jaideep Mega Store,Delhi,"Shop-154, Mangolpur Kalan, Rohini Sector 2, Delhi - 110085, Opp. - Pocket 4, Near Jain Sweet Wali Gali and Maruti Service Station",Jain Sweet Wali Gali and Maruti Service Station,74.4336,710.9366311,826,1515048987,Grocery Stores
Jai Maa Kamakhya Kirana Sto..,Delhi,"GARHI CHAUKHANDI, Noida Sector 68, Noida - 201307, Near Yadav Mobile Wali Gali",,69.4118,981.3881097,695,2821865719,Grocery Stores
Lala Ki Dukaan,Delhi,"Shop No 1, Crossing Republik, Ghaziabad - 201016, Near Sushant Aquapolis",,69.5738,271.6107195,694,7710291441,Grocery Stores
Modern Bazaar,Delhi,"15, Community Center, New Friends Colony, Delhi - 110025, Behind Surya Sofitel Hotel",,13.4018,496.0616329,1365,3649720434,Grocery Stores
Home Store 12x7,Delhi,"Gf 23, GF-23, Crossing Republik, Noida Extension,, Crossing Republik, Ghaziabad - 201016, Haldiram",aldiram,39.9899,943.3088714,1091,2193323822,Grocery Stores
SUPER BAKERY GALLERIA MKT,Delhi,"SG-29-30, Galleria Market, DLF City Phase 4, Gurgaon - 122002, Opposite DLF Club, Sector 28","Club, Sector 28",96.3565,512.5664347,864,6114980022,Grocery Stores
Saradhya Organics,Delhi,"Shop No. 1, Plot No. 2, Golf Avenue, Noida Sector 75, Noida - 201304, Near Metro Station",Near Metro Station,36.915,52.19693038,1696,1423368131,Grocery Stores
Aggarwal Traders,Delhi,"Shop Number  7259/3, Shakti Nagar, Delhi - 110007, Opp Chadda Bhawan",Chadda Bhawan,84.0046,835.2872667,1538,1554025219,Grocery Stores
Manish Agencies (Dough&Crea..,Delhi,"D-112, Vikaspuri road, Vikaspuri, Delhi - 110018, Arya Samaj Mandir",,73.7427,268.9166328,736,9570553952,Grocery Stores
Madhav Store,Delhi,"Madhav Store, Shakti Khand 3 Indirapuram Ghaziabad, Indirapuram, Ghaziabad - 201014, 253 Ground Floor",ound Floor,53.411,667.840013,1571,3603738195,Grocery Stores
Modern Bazaar,Delhi,"47, North Avenue, Club Road, Punjabi Bagh, Delhi - 110026",,69.1782,340.0627361,501,2969014757,Grocery Stores
Essential Grocery & More,Delhi,"Gd-28 Ground Floor, Pitampura, Delhi - 110088, Pillar No-365",Pillar No-365,33.0534,825.691065,1228,794098601,Grocery Stores
Karachy Bakery And Organic ..,Delhi,"Plot No.-4, Khari Market, Noida Sector 141, Noida - 201305, Near Baramda Restaurant",Baramdataurant,1.3782,483.1018799,918,5293059990,Grocery Stores
Smart Mart,Delhi,"G-2&3, Main Dwarka Expressway, Gurgaon Sector 99, Gurgaon - 122006, Ocus Medley",,89.929,798.3346553,1030,3141241137,Grocery Stores
Sardaran Di Hatti,Delhi,"FD 8, Pitampura, Delhi - 110034, Near Metro Station Pitampura & Opposite Metro Pillar Number 368",Number 368,37.3295,348.8278772,827,5828869094,Grocery Stores
Store To Door,Delhi,"Shop No 210, 2nd Floor, Gaur City 1, Noida - 201318, Aarza Square 2",,32.9423,832.1671443,962,2145870135,Grocery Stores
Saradhya Organics,Delhi,"Shop No. 1, Plot No. 2, Golf Avenue, Noida Sector 75, Noida - 201304, Near Metro Station",Near Metro Station,93.7622,287.9465644,784,6712496141,Grocery Stores
Aggarwal Traders,Delhi,"Shop Number  7259/3, Shakti Nagar, Delhi - 110007, Opp Chadda Bhawan",Chadda Bhawan,86.2931,176.6690729,1758,4718033071,Grocery Stores
Manish Agencies (Dough&Crea..,Delhi,"D-112, Vikaspuri road, Vikaspuri, Delhi - 110018, Arya Samaj Mandir",,58.1392,822.4150981,1860,3126832199,Grocery Stores
Madhav Store,Delhi,"Madhav Store, Shakti Khand 3 Indirapuram Ghaziabad, Indirapuram, Ghaziabad - 201014, 253 Ground Floor",ound Floor,3.7095,130.2945995,809,8322797317,Grocery Stores
Modern Bazaar,Delhi,"47, North Avenue, Club Road, Punjabi Bagh, Delhi - 110026",,74.6952,185.4830249,565,9745779508,Grocery Stores
Essential Grocery & More,Delhi,"Gd-28 Ground Floor, Pitampura, Delhi - 110088, Pillar No-365",Pillar No-365,90.7525,281.1019201,1570,1014751652,Grocery Stores
Karachy Bakery And Organic ..,Delhi,"Plot No.-4, Khari Market, Noida Sector 141, Noida - 201305, Near Baramda Restaurant",Baramdataurant,8.8107,195.4828687,1246,9105251355,Grocery Stores
Smart Mart,Delhi,"G-2&3, Main Dwarka Expressway, Gurgaon Sector 99, Gurgaon - 122006, Ocus Medley",,41.3701,965.6147257,1001,3757432770,Grocery Stores
Sardaran Di Hatti,Delhi,"FD 8, Pitampura, Delhi - 110034, Near Metro Station Pitampura & Opposite Metro Pillar Number 368",Number 368,50.8802,494.6452305,588,9809778714,Grocery Stores
Store To Door,Delhi,"Shop No 210, 2nd Floor, Gaur City 1, Noida - 201318, Aarza Square 2",,75.9339,993.0582993,1716,7522740522,Grocery Stores
Zawk Mega Mart,Delhi,"B-75, Main Market, New Ashok Nagar, Delhi - 110096, Near Bharti Chowk",,49.2586,58.79272359,1553,5940177045,Grocery Stores
Food Centre,Delhi,"3965/A Naya Bazar, Opp., Syndicate Bank, Naya Bazar, Delhi - 110006, Near Khari Baoli Whole Sale Market",Baoli Whole Sale Market,59.0386,149.5088248,1372,2978838243,Grocery Stores
Mehta Enterprises,Delhi,"G-103, Sapphire  83 Mall, Gurgaon Sector 83, Gurgaon - 122004, Near Inox",,0.7445,586.8766239,1146,2296111158,Grocery Stores
Street Mart   Pharmacy,Delhi,"Shop-2, Hyde Park Crown Market, Sector 78, Noida - 201305, Hyde Park",Hydede Park,26.8836,389.8755343,1564,7852431027,Grocery Stores
Csd Food Bazaar,Delhi,"336 Kakrolla Housing Complex, Dwarka More, Delhi - 110059, NEAR Metro Pillar No.789",Pillar No.789,14.7942,794.9452531,585,3433289036,Grocery Stores
Jigyasa Store,Delhi,"Shop Number-1, Shri Radhe Lal Market, Sector 135, Noida - 201304, Near Shivalik Bank",Shivalikik Bank,88.8442,906.8205809,1527,248125357,Grocery Stores
Dev Super Mart,Delhi,"New Town Heights, Dlf, Gurgaon Sector 86, Gurgaon - 122051",,99.4238,168.7803128,728,2529720521,Grocery Stores
Big Mart Retail Solutions P..,Delhi,"20 A 1, Old Mehraulii Road, Palam Colony, Delhi - 110045, Raj Nagar Part II",,40.8039,696.5456413,956,2954294935,Grocery Stores
Balaji Trading Company,Delhi,"RZ-172, Gali No-4, Vaishali Colony, Dabri, Delhi - 110045, Backside Jindal Public School",School,61.9057,412.7389607,1964,5775514739,Grocery Stores
Earth Mega Mart,Delhi,"Shop No 1, Shivam Plaza Delta 1, Delta 1, Noida - 201310, Near Gate No 1 and Community Center Delta 1",er Delta,40.77,386.6359515,610,5167730935,Grocery Stores
Jigyasa Store,Delhi,"Shop Number-1, Shri Radhe Lal Market, Sector 135, Noida - 201304, Near Shivalik Bank",Shivalikik Bank,55.6618,359.2738724,851,9031143517,Grocery Stores
Dev Super Mart,Delhi,"New Town Heights, Dlf, Gurgaon Sector 86, Gurgaon - 122051",,18.4794,448.7889133,1955,3875913216,Grocery Stores
Big Mart Retail Solutions P..,Delhi,"20 A 1, Old Mehraulii Road, Palam Colony, Delhi - 110045, Raj Nagar Part II",,87.9689,249.9191438,1072,1818686315,Grocery Stores
Balaji Trading Company,Delhi,"RZ-172, Gali No-4, Vaishali Colony, Dabri, Delhi - 110045, Backside Jindal Public School",School,38.4135,258.3735234,918,2226294928,Grocery Stores
Earth Mega Mart,Delhi,"Shop No 1, Shivam Plaza Delta 1, Delta 1, Noida - 201310, Near Gate No 1 and Community Center Delta 1",er Delta,89.9442,390.2935983,1802,3500388350,Grocery Stores
Dhama Clinic,Delhi,"C 46, Noida Sector 34, Noida - 201307, Near City Centre Metro Station",City Centre Metro Station,67.8049,366.9656903,1780,5507142287,Doctor
Dr. S K Mundhra,Delhi,"B 294, Ground Floor, Pvr Cinema Prashant Vihar Road, Prashant Vihar, Delhi - 110085, Opposite St Margreet School",St Margreet School,68.6898,231.2876083,1078,8726490824,Doctor
Max Super Speciality Hospit..,Delhi,"108 A, Indraprastha Extension, Delhi - 110092, Near Patparganj",Patparganj,27.3668,593.5691536,559,7508944832,Doctor
